"gene_name","protein_id","mrna_id","ccds_id","ec_num","trembl_id","swissprot_id"
"NAE1","NP_001018170.1","NM_001018160.1","42172.1","-","A8MU28","Q13564"
"NAE1","NP_003896.1","NM_003905.3","10820.1","-","-","Q13564"
"NCL","NP_005372.2","NM_005381.2","33397.1","-","B3KM80","P19338"
"NDRG1","NP_001128714.1","NM_001135242.1","34945.1","-","-","Q92597"
"NDRG1","NP_006087.2","NM_006096.3","34945.1","-","-","Q92597"
"NDRG4","NP_001123959.1","NM_001130487.1","45500.1","-","-","Q9ULP0 "
"NDRG4","NP_065198.1","NM_020465.3","10797.1","-","-","Q9ULP0 "
"NDRG4","NP_075061.1","NM_022910.2","10797.1","-","-","Q9ULP0 "
"NDUFS6","NP_004544.1","NM_004553.3","3866.1","1.6.5.3;  1.6.99.3","Q6IBC4","O75380"
"NEBL","NP_006384.1","NM_006393.2","7134.1","-","Q59FZ8 ","O76041 "
"NEBL","NP_998734.1","NM_213569.2","7133.1","-","Q59FZ8; Q7","-"
"NEK1","NP_036356.1","NM_012224.1","47162.1","2.7.11.1","-","Q96PY6"
"NKX6-1","NP_006159.2","NM_006168.2","3607.1","-","-","-"
"NME1","NP_000260.1","NM_000269.2","11579.1","2.7.4.6","-","P15531 "
"NME1","NP_937818.1","NM_198175.1","11578.1","2.7.4.6","-","P15531 "
"NME2","NP_001018147.1","NM_001018137.1","11580.1","2.7.4.6","Q6FHN3 ","P22392 "
"NME2","NP_001018148.1","NM_001018138.1","11580.1","2.7.4.6","Q6FHN3 ","P22392 "
"NME2","NP_001018149.1","NM_001018139.1","11580.1","2.7.4.6","Q6FHN3 ","P22392 "
"NME2","NP_002503.1","NM_002512.2","11580.1","2.7.4.6","Q6FHN3 ","P22392 "
"NNT","NP_036475.3","NM_012343.3","3949.1","1.6.1.2","-","Q13423"
"NNT","NP_892022.2","NM_182977.2","3949.1","1.6.1.2","-","Q13423"
"NOL4","NP_003778.2","NM_003787.3","11907.2","-","-","O94818"
"NOL7","NP_057251.2","NM_016167.3","4528.1","-","-","Q9UMY1"
"NPTX1","NP_002513.2","NM_002522.3","32762.1","-","-","Q15818"
"NQO1","NP_000894.1","NM_000903.2","10883.1","1.6.5.2","-","P15559 "
"NQO1","NP_001020604.1","NM_001025433.1","32472.1","1.6.5.2","B7ZAD1 ","P15559 "
"NQO1","NP_001020605.1","NM_001025434.1","32471.1","1.6.5.2","-","-"
"NRAS","NP_002515.1","NM_002524.3","877.1","-","Q5U091","P01111"
"NRM","NP_009174.1","NM_007243.1","4686.1","-","B0S7R0","Q8IXM6"
"NTF3","NP_001096124.1","NM_001102654.1","44806.1","-","B7Z1T5 ","P20783 "
"NTF3","NP_002518.1","NM_002527.4","8538.1","-","-","P20783 "
"NTN4","NP_067052.2","NM_021229.3","9054.1","-","-","Q9HB63"
"OAS3","NP_006178.2","NM_006187.2","44981.1","-","-","Q9Y6K5"
"OAT","NP_000265.1","NM_000274.2","7639.1"," 2.6.1.13","-","P04181"
"ONECUT1","NP_004489.1","NM_004498.1","10150.1","-","-","Q9UBC0"
"ORAOV1","NP_703152.1","NM_153451.2","8192.1","-","-","Q8WV07"
"OSMR","NP_003990.1","NM_003999.1","3928.1","-","-","Q99650"
"OSR1","NP_660303.1","NM_145260.2","1694.1","2.7.11.1","-","Q8TAX0"
"P2RX4","NP_002551.2","NM_002560.2","9214.1","-","-","Q99571"
"PA2G4","NP_006182.2","NM_006191.2","8902.1","-","-","Q9UQ80"
"PAIP1","NP_006442.2","NM_006451.4","3947.1","-","-","Q9H074"
"PAIP1","NP_877590.1","NM_182789.3","47204.1","-","-","Q9H074"
"PAIP1","NP_899152.1","NM_183323.2","3948.1","-","A6NKV8","Q9H074"
"PAPD7","NP_008930.1","NM_006999.3","3871.1","2.7.7.7","-","Q5XG87"
"PAX1","NP_006183.2","NM_006192.3","13146.2","-","-","P15863"
