"id","alias","descrip","other"
"MATN1","CMP, CRTM","matrilin 1, cartilage matrix protein","cartilage matrix protein"
"MATN2","","matrilin 2","matrilin-2"
"DDR1-AS1","TIGD1L, bCX111D4.7, bPG70P20.2, bQB10J12.1","DDR1 antisense RNA 1 (head to head)","DDR1 antisense RNA 1 (non-protein coding)"
"HCG18","","HLA complex group 18 (non-protein coding)",""
"MATN3","DIPOA, EDM5, HOA, OADIP, OS2","matrilin 3","matrilin-3"
"BLID","BRCC2","BH3-like motif containing, cell death inducer","BH3-like motif-containing cell death inducer|breast cancer cell 2|breast cancer cell protein 2"
"MAX","bHLHd4","MYC associated factor X","class D basic helix-loop-helix protein 4|protein max"
"DENND6B","AFI1B, FAM116B","DENN/MADD domain containing 6B","DENN domain-containing protein 6B|family with sequence similarity 116, member B|protein DENND6B|protein FAM116B"
"C8orf82","","chromosome 8 open reading frame 82","UPF0598 protein C8orf82"
"LINC00593","C15orf50","long intergenic non-protein coding RNA 593",""
"MGC34796","","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) pseudogene",""
"MAZ","PUR1, Pur-1, SAF-1, SAF-2, SAF-3, ZF87, ZNF801, Zif87","MYC-associated zinc finger protein (purine-binding transcription factor)","MAZI|myc-associated zinc finger protein|purine-binding transcription factor|serum amyloid A activating factor 1|serum amyloid A activating factor 2|serum amyloid A-activating factor-1|transcription factor Zif87|zinc finger protein 801|zinc-finger protein, 87 kilodaltons"
"CNTFR-AS1","","CNTFR antisense RNA 1",""
"ARSE","ASE, CDPX, CDPX1, CDPXR","arylsulfatase E (chondrodysplasia punctata 1)","arylsulfatase E"
"MB","PVALB, myoglobgin","myoglobin",""
"MBD1","CXXC3, PCM1, RFT","methyl-CpG binding domain protein 1","CXXC-type zinc finger protein 3|methyl-CpG binding domain protein 1 isoform PCM1|methyl-CpG-binding domain protein 1|protein containing methyl-CpG-binding domain 1|the regulator of fibroblast growth factor 2 (FGF-2) transcription"
"MBL2","COLEC1, HSMBPC, MBLD, MBP, MBP-C, MBP1, MBPD, MBL2","mannose-binding lectin (protein C) 2, soluble","collectin-1|mannan-binding lectin|mannose-binding lectin (protein C) 2, soluble (opsonic defect)|mannose-binding lectin 2, soluble (opsonic defect)|mannose-binding protein C"
"MBNL1","EXP, EXP35, EXP40, EXP42, MBNL","muscleblind-like splicing regulator 1","muscleblind-like protein 1|triplet-expansion RNA-binding protein"
"MBP","","myelin basic protein","myelin A1 protein|myelin membrane encephalitogenic protein"
"MC1R","CMM5, MSH-R, SHEP2","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","MC1-R|melanocyte-stimulating hormone receptor|melanotropin receptor"
"MC2R","ACTHR","melanocortin 2 receptor (adrenocorticotropic hormone)","ACTH receptor|MC2 receptor|adrenocorticotropic hormone receptor|adrenocorticotropin receptor|corticotropin receptor"
"MC3R","BMIQ9, MC3, MC3-R, OB20, OQTL","melanocortin 3 receptor","melanocortin receptor 3|obesity quantitative trait locus"
"MC4R","","melanocortin 4 receptor","MC4-R|melanocortin receptor 4"
"ARSF","ASF","arylsulfatase F",""
"MC5R","MC2","melanocortin 5 receptor","melanocortin receptor 5|melanocortin-5 receptor"
"MCAM","CD146, MUC18","melanoma cell adhesion molecule","Gicerin|S-endo 1 endothelial-associated antigen|cell surface glycoprotein MUC18|cell surface glycoprotein P1H12|melanoma adhesion molecule|melanoma-associated antigen A32|melanoma-associated antigen MUC18"
"MCC","MCC1","mutated in colorectal cancers","colorectal mutant cancer protein"
"CHST6","MCDC1","carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6","C-GlcNAc6ST|GST4-beta|N-acetylglucosamine 6-O-sulfotransferase 5|carbohydrate sulfotransferase 6|corneal N-acetylglucosamine 6-sulfotransferase|corneal N-acetylglucosamine-6-O-sulfotransferase|galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta|glcNAc6ST-5|gn6st-5|hCGn6ST"
"MCF2","ARHGEF21, DBL","MCF.2 cell line derived transforming sequence","Oncogene MCF2 (oncogene DBL)|proto-oncogene DBL|proto-oncogene MCF-2"
"MCL1","BCL2L3, EAT-ES, MCL1L, MCL1S, Mcl-1, TM, bcl2-L-3, mcl1/EAT, MCL1","myeloid cell leukemia 1","bcl-2-like protein 3|bcl-2-related protein EAT/mcl1|induced myeloid leukemia cell differentiation protein Mcl-1|myeloid cell leukemia ES|myeloid cell leukemia sequence 1 (BCL2-related)"
"ART1","ART2, ARTC1, CD296, RT6","ADP-ribosyltransferase 1","ADP-ribosyltransferase 2|ADP-ribosyltransferase C2 and C3 toxin-like 1|GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1|mono(ADP-ribosyl)transferase 1"
"MCM2","BM28, CCNL1, CDCL1, D3S3194, MITOTIN, cdc19","minichromosome maintenance complex component 2","DNA replication licensing factor MCM2|MCM2 minichromosome maintenance deficient 2, mitotin|cell devision cycle-like 1|cyclin-like 1|minichromosome maintenance deficient 2 (mitotin)|minichromosome maintenance protein 2 homolog|nuclear protein BM28"
"MCM3","HCC5, P1-MCM3, P1.h, RLFB","minichromosome maintenance complex component 3","DNA polymerase alpha holoenzyme-associated protein P1|DNA replication factor MCM3|DNA replication licensing factor MCM3|MCM3 minichromosome maintenance deficient 3|RLF subunit beta|cervical cancer proto-oncogene 5|hRlf beta subunit|minichromosome maintenance deficient 3|p102|replication licensing factor, beta subunit"
"MCM4","CDC21, CDC54, NKCD, NKGCD, P1-CDC21, hCdc21","minichromosome maintenance complex component 4","CDC21 homolog|DNA replication licensing factor MCM4|homolog of S. pombe cell devision cycle 21|minichromosome maintenance deficient 4"
"MCM5","CDC46, P1-CDC46","minichromosome maintenance complex component 5","CDC46 homolog|DNA replication licensing factor MCM5|MCM5 minichromosome maintenance deficient 5, cell division cycle 46|minichromosome maintenance deficient 5 (cell division cycle 46)"
"MCM6","MCG40308, Mis5, P105MCM","minichromosome maintenance complex component 6","DNA replication licensing factor MCM6|MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe)|minichromosome maintenance deficient (mis5, S. pombe) 6"
"MCM7","CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104","minichromosome maintenance complex component 7","CDC47 homolog|DNA replication licensing factor MCM7|homolog of S. cerevisiae Cdc47|minichromosome maintenance deficient 7|protein phosphatase 1, regulatory subunit 104"
"CD46","AHUS2, MCP, MIC10, TLX, TRA2.10","CD46 molecule, complement regulatory protein","CD46 antigen, complement regulatory protein|antigen identified by monoclonal antibody TRA-2-10|complement membrane cofactor protein|measles virus receptor|membrane cofactor protein|membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)|trophoblast leucocyte common antigen|trophoblast leukocyte common antigen|trophoblast-lymphocyte cross-reactive antigen"
"ADAM11","MDC","ADAM metallopeptidase domain 11","ADAM 11|disintegrin and metalloproteinase domain-containing protein 11"
"MDFI","I-MF, I-mfa","MyoD family inhibitor","inhibitor of MyoD family a|myoD family inhibitor|myogenic repressor I-mf"
"DNAJB9","ERdj4, MDG-1, MDG1, MST049, MSTP049","DnaJ (Hsp40) homolog, subfamily B, member 9","ER-resident protein ERdj4|dnaJ homolog subfamily B member 9|endoplasmic reticulum DNA J domain-containing protein 4|endoplasmic reticulum DnaJ homolog 4|microvascular endothelial differentiation gene 1 protein"
"MDH1","HEL-S-32, MDH-s, MDHA, MGC:1375, MOR2","malate dehydrogenase 1, NAD (soluble)","cytosolic malate dehydrogenase|diiodophenylpyruvate reductase|epididymis secretory protein Li 32|malate dehydrogenase, cytoplasmic|soluble malate dehydrogenase"
"ART3","ARTC3","ADP-ribosyltransferase 3","ADP-ribosyltransferase C2 and C3 toxin-like 3|NAD(P)(+)--arginine ADP-ribosyltransferase 3|ecto-ADP-ribosyltransferase 3|mono(ADP-ribosyl)transferase 3|mono-ADP-ribosyltransferase"
"MDH2","M-MDH, MDH, MGC:3559, MOR1","malate dehydrogenase 2, NAD (mitochondrial)","malate dehydrogenase, mitochondrial"
"MDK","ARAP, MK, NEGF2","midkine (neurite growth-promoting factor 2)","amphiregulin-associated protein|midgestation and kidney protein|midkine|neurite outgrowth-promoting factor 2|retinoic acid inducible factor"
"MDM2","ACTFS, HDMX, hdm2","MDM2 proto-oncogene, E3 ubiquitin protein ligase","E3 ubiquitin-protein ligase Mdm2|MDM2 oncogene, E3 ubiquitin protein ligase|Mdm2, p53 E3 ubiquitin protein ligase homolog|Mdm2, transformed 3T3 cell double minute 2, p53 binding protein|double minute 2, human homolog of; p53-binding protein|oncoprotein Mdm2"
"MDM4","HDMX, MDMX, MRP1","MDM4, p53 regulator","MDM4 protein variant G|MDM4 protein variant Y|MDM4-related protein 1|Mdm4 p53 binding protein homolog|double minute 4, human homolog of; p53-binding protein|mdm2-like p53-binding protein|protein Mdm4|protein Mdmx"
"ME1","HUMNDME, MES","malic enzyme 1, NADP(+)-dependent, cytosolic","Malic enzyme, cytoplasmic|NADP-ME|NADP-dependent malic enzyme|malate dehydrogenase|malic enzyme 1, soluble|pyruvic-malic carboxylase"
"ME2","ODS1","malic enzyme 2, NAD(+)-dependent, mitochondrial","NAD-ME|NAD-dependent malic enzyme, mitochondrial|malate dehydrogenase|pyruvic-malic carboxylase"
"ART4","ARTC4, CD297, DO, DOK1","ADP-ribosyltransferase 4 (Dombrock blood group)","ADP-ribosyltransferase 4 (DO blood group)|ADP-ribosyltransferase C2 and C3 toxin-like 4|Dombrock blood group carrier molecule|NAD(P)(+)--arginine ADP-ribosyltransferase 4|ecto-ADP-ribosyltransferase 4|mono-ADP-ribosyltransferase 4"
"MEA1","HYS, MEA","male-enhanced antigen 1","MEA-1|Male-enhanced antigen (H-Y structural gene)"
"MECP2","AUTSX3, MRX16, MRX79, MRXS13, MRXSL, PPMX, RS, RTS, RTT","methyl CpG binding protein 2","meCp-2 protein|methyl-CpG-binding protein 2"
"MEF2A","ADCAD1, RSRFC4, RSRFC9, mef2","myocyte enhancer factor 2A","MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)|myocyte-specific enhancer factor 2A|serum response factor-like protein 1"
"MEF2C","C5DELq14.3, DEL5q14.3","myocyte enhancer factor 2C","MADS box transcription enhancer factor 2, polypeptide C|myocyte-specific enhancer factor 2C"
"MEF2D","","myocyte enhancer factor 2D","MADS box transcription enhancer factor 2, polypeptide D|myocyte-specific enhancer factor 2D"
"MEFV","FMF, MEF, TRIM20","Mediterranean fever","marenostrin|pyrin"
"ARVCF","","armadillo repeat gene deleted in velocardiofacial syndrome","armadillo repeat protein deleted in velo-cardio-facial syndrome"
"MEIS1","","Meis homeobox 1","Meis1, myeloid ecotropic viral integration site 1 homolog|WUGSC:H_NH0444B04.1|homeobox protein Meis1|leukemogenic homolog protein"
"MEIS2","HsT18361, MRG1","Meis homeobox 2","Meis homolog 2|Meis1, myeloid ecotropic viral integration site 1 homolog 2|Meis1-related gene 1|TALE homeobox protein Meis2|homeobox protein Meis2|meis1-related protein 1"
"MEIS3P1","MEIS3, MEIS4, MRG2","Meis homeobox 3 pseudogene 1","CTD-3157E16.2|Meis homolog 3|Meis1 homolog 3 pseudogene 1|Meis1, myeloid ecotropic viral integration site 1 homolog 3|Meis1, myeloid ecotropic viral integration site 1 homolog 4|Putative homeobox protein Meis3-like 1"
"MAP3K1","MAPKKK1, MEKK, MEKK 1, MEKK1, SRXY6","mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase","MAP/ERK kinase kinase 1|MAPK/ERK kinase kinase 1|MEK kinase 1|mitogen-activated protein kinase kinase kinase 1"
"MAP3K3","MAPKKK3, MEKK3","mitogen-activated protein kinase kinase kinase 3","MAP/ERK kinase kinase 3|MAPK/ERK kinase kinase 3|MEK kinase 3|MEKK 3"
"MAP3K4","MAPKKK4, MEKK 4, MEKK4, MTK1, PRO0412","mitogen-activated protein kinase kinase kinase 4","MAP three kinase 1|MAP/ERK kinase kinase 4|MAPK/ERK kinase kinase 4|MEK kinase 4|SSK2/SSK22 MAP kinase kinase kinase, yeast, homolog of|dJ473J16.1 (mitogen-activated protein kinase kinase kinase 4)|predicted protein of HQ0412"
"MAP3K5","ASK1, MAPKKK5, MEKK5","mitogen-activated protein kinase kinase kinase 5","ASK-1|MAP/ERK kinase kinase 5|MAPK/ERK kinase kinase 5|MEK kinase 5|MEKK 5|apoptosis signal regulating kinase 1|apoptosis signal-regulating kinase 1"
"MEN1","MEAI, SCG2","multiple endocrine neoplasia I","menin"
"MEOX1","KFS2, MOX1","mesenchyme homeobox 1","homeobox protein MOX-1"
"MEOX2","GAX, MOX2","mesenchyme homeobox 2","growth arrest-specific homeobox|homeobox protein MOX-2"
"MEP1A","PPHA","meprin A, alpha (PABA peptide hydrolase)","N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit alpha|PABA peptide hydrolase|PPH alpha|bA268F1.1 (meprin A alpha (PABA peptide hydrolase))|endopeptidase-2|meprin A subunit alpha"
"MEP1B","","meprin A, beta","N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta|N-benzoyl-L-tyrosyl-p-amino-benzoic acid hydrolase beta subunit|PABA peptide hydrolase|PPH beta|endopeptidase-2|meprin A subunit beta|meprin B"
"MEST","PEG1","mesoderm specific transcript","mesoderm-specific transcript homolog protein|paternally-expressed gene 1 protein"
"MET","AUTS9, DFNB97, HGFR, RCCP2, c-Met","MET proto-oncogene, receptor tyrosine kinase","HGF receptor|HGF/SF receptor|SF receptor|hepatocyte growth factor receptor|met proto-oncogene tyrosine kinase|proto-oncogene c-Met|scatter factor receptor|soluble MET variant 12|tyrosine-protein kinase Met"
"METTL1","C12orf1, TRM8, TRMT8, YDL201w","methyltransferase like 1","D1075-like gene product|methyltransferase-like 1|methyltransferase-like protein 1|tRNA (guanine(46)-N(7))-methyltransferase|tRNA (guanine-N(7)-)-methyltransferase|tRNA(m7G46)-methyltransferase"
"MFAP1","","microfibrillar-associated protein 1",""
"MFAP2","MAGP, MAGP-1, MAGP1","microfibrillar-associated protein 2","microfibril-associated glycoprotein 1"
"MFAP3","","microfibrillar-associated protein 3","microfibril-associated glycoprotein 3"
"MFAP4","","microfibrillar-associated protein 4","microfibril-associated glycoprotein 4"
"MFGE8","BA46, EDIL1, HMFG, HsT19888, MFG-E8, MFGM, OAcGD3S, SED1, SPAG10, hP47","milk fat globule-EGF factor 8 protein","O-acetyl disialoganglioside synthase|breast epithelial antigen BA46|lactadherin|medin|sperm associated antigen 10|sperm surface protein hP47"
"MFI2","CD228, MAP97, MTF1, MTf","antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5","melanoma-associated antigen p97|melanotransferrin|membrane-bound transferrin-like protein"
"MFNG","","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase|beta-1,3-N-acetylglucosaminyltransferase manic fringe"
"MGAT1","GLCNAC-TI, GLCT1, GLYT1, GNT-1, GNT-I, MGAT","mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I|alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase|glcNAc-T I"
"MGAT2","CDG2A, CDGS2, GLCNACTII, GNT-II, GNT2","mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","Beta-1,2-N-acetylglucosaminyltransferase II|N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II|UDP-N-acetylglucosamine:alpha-6-D-mannoside beta-1,2-N-acetylglucosaminyltransferase II|alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase|glcNAc-T II|mannoside acetylglucosaminyltransferase 2"
"MGAT3","GNT-III, GNT3","mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase","GlcNAc-T III|N-acetylglucosaminyltransferase III|N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III|beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"MGAT5","GNT-V, GNT-VA","mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase","N-acetylglucosaminyl-transferase V|alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A|alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase|glcNAc-T V|mannoside acetylglucosaminyltransferase 5"
"CTAGE5","MEA6, MGEA, MGEA11, MGEA6","CTAGE family, member 5","cTAGE family member 5|cutaneous T-cell lymphoma-associated antigen 5|meningioma expressed antigen 6 (coiled-coil proline-rich)|meningioma-expressed antigen 6/11|protein cTAGE-5"
"KITLG","FPH2, FPHH, KL-1, Kitl, MGF, SCF, SF, SHEP7","KIT ligand","c-Kit ligand|familial progressive hyperpigmentation 2|kit ligand|mast cell growth factor|steel factor|stem cell factor"
"MGMT","","O-6-methylguanine-DNA methyltransferase","6-O-methylguanine-DNA methyltransferase|O-6-methylguanine-DNA-alkyltransferase|O6-methylguanine-DNA methyltransferase|methylated-DNA--protein-cysteine methyltransferase|methylguanine-DNA methyltransferase"
"MGP","GIG36, MGLAP, NTI","matrix Gla protein","cell growth-inhibiting gene 36 protein"
"MGST1","GST12, MGST, MGST-I","microsomal glutathione S-transferase 1","glutathione S-transferase 12|microsomal GST-1|microsomal GST-I"
"MGST2","GST2, MGST-II","microsomal glutathione S-transferase 2","microsomal GST-2|microsomal GST-II"
"MGST3","GST-III","microsomal glutathione S-transferase 3","microsomal GST-3|microsomal GST-III|microsomal glutathione S-transferase III"
"CIITA","C2TAIV, MHC2TA, NLRA, CIITA","class II, major histocompatibility complex, transactivator","MHC class II transactivator|MHC class II transactivator type III|NLR family, acid domain containing|nucleotide-binding oligomerization domain, leucine rich repeat and acid domain containing"
"CD99","HBA71, MIC2, MIC2X, MIC2Y, MSK5X","CD99 molecule","CD99 antigen|E2 antigen|MIC2 (monoclonal antibody 12E7)|T-cell surface glycoprotein E2|antigen identified by monoclonal 12E7, Y homolog|antigen identified by monoclonal antibodies 12E7, F21 and O13|surface antigen MIC2"
"CD99","HBA71, MIC2, MIC2X, MIC2Y, MSK5X","CD99 molecule","CD99 antigen|E2 antigen|MIC2 (monoclonal antibody 12E7)|T-cell surface glycoprotein E2|antigen identified by monoclonal 12E7, Y homolog|antigen identified by monoclonal antibodies 12E7, F21 and O13|surface antigen MIC2"
"ASAH1","AC, ACDase, ASAH, PHP, PHP32, SMAPME","N-acylsphingosine amidohydrolase (acid ceramidase) 1","acid CDase|acid ceramidase|acylsphingosine deacylase|putative 32 kDa heart protein"
"MICB","PERB11.2","MHC class I polypeptide-related sequence B","MHC class I chain-related protein B|MHC class I mic-B antigen|MHC class I-like molecule PERB11.2-IMX|stress inducible class I homolog"
"MID1","BBBG1, FXY, GBBB1, MIDIN, OGS1, OS, OSX, RNF59, TRIM18, XPRF, ZNFXY","midline 1","E3 ubiquitin-protein ligase Midline-1|Opitz/BBB syndrome|RING finger protein 59|RING finger protein Midline-1|midline 1 RING finger protein|putative transcription factor XPRF|tripartite motif protein TRIM18|tripartite motif-containing protein 18|zinc finger on X and Y, mouse, homolog of"
"MIF","GIF, GLIF, MMIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","L-dopachrome isomerase|L-dopachrome tautomerase|macrophage migration inhibitory factor|phenylpyruvate tautomerase"
"CXCL9","CMK, Humig, MIG, SCYB9, crg-10","chemokine (C-X-C motif) ligand 9","C-X-C motif chemokine 9|gamma-interferon-induced monokine|monokine induced by gamma interferon|monokine induced by interferon-gamma|small-inducible cytokine B9"
"MIP","AQP0, CTRCT15, LIM126, MP26, MIP","major intrinsic protein of lens fiber","aquaporin 0|lens fiber major intrinsic protein"
"MIPEP","HMIP, MIP","mitochondrial intermediate peptidase",""
"MITF","CMM8, MI, WS2, WS2A, bHLHe32","microphthalmia-associated transcription factor","class E basic helix-loop-helix protein 32|microphtalmia-associated transcription factor"
"ATXN3","AT3, ATX3, JOS, MJD, MJD1, SCA3","ataxin 3","Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)|Machado-Joseph disease protein 1|ataxin 3 variant an|ataxin 3 variant ao|ataxin 3 variant at|ataxin 3 variant e|ataxin 3 variant h|ataxin 3 variant m|ataxin 3 variant r|ataxin 3 variant ref|ataxin 3 variant y|ataxin-3|josephin|olivopontocerebellar ataxia 3|spinocerebellar ataxia type 3 protein"
"MKI67","KIA, MIB-, MIB-1, PPP1R105","marker of proliferation Ki-67","antigen KI-67|antigen identified by monoclonal antibody Ki-67|proliferation-related Ki-67 antigen|protein phosphatase 1, regulatory subunit 105"
"MKLN1","TWA2","muskelin 1, intracellular mediator containing kelch motifs","muskelin"
"ASCL1","ASH1, HASH1, MASH1, bHLHa46","achaete-scute family bHLH transcription factor 1","ASH-1|achaete scute protein|achaete-scute complex homolog 1|achaete-scute complex-like 1|achaete-scute homolog 1|class A basic helix-loop-helix protein 46"
"MLF1","","myeloid leukemia factor 1","myelodysplasia-myeloid leukemia factor 1"
"MLH1","COCA2, FCC2, HNPCC, HNPCC2, hMLH1","mutL homolog 1","DNA mismatch repair protein Mlh1|mutL homolog 1, colon cancer, nonpolyposis type 2"
"MAP3K9","MEKK9, MLK1, PRKE1","mitogen-activated protein kinase kinase kinase 9","mixed lineage kinase 1 (tyr and ser/thr specificity)"
"MAP3K10","MEKK10, MLK2, MST","mitogen-activated protein kinase kinase kinase 10","MKN28 derived nonreceptor_type serine/threonine kinase|MKN28 kinase|mixed lineage kinase 2|protein kinase MST"
"MLN","","motilin","prepromotilin|promotilin"
"MAP3K11","MEKK11, MLK-3, MLK3, PTK1, SPRK","mitogen-activated protein kinase kinase kinase 11","SH3 domain-containing proline-rich kinase|mixed lineage kinase 3|protein-tyrosine kinase PTK1|src-homology 3 domain-containing proline-rich kinase"
"KMT2A","ALL-1, CXXC7, HRX, HTRX1, MLL, MLL-AF9, MLL/GAS7, MLL1, MLL1A, TET1-MLL, TRX1, WDSTS","lysine (K)-specific methyltransferase 2A","CDK6/MLL fusion protein|CXXC-type zinc finger protein 7|MLL-AF4 der(11) fusion protein|MLL/ENL fusion protein|MLL/GAS7 fusion protein|MLL/GMPS fusion protein|histone-lysine N-methyltransferase 2A|lysine N-methyltransferase 2A|mixed lineage leukemia 1|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)|rearranged MLL protein|trithorax-like protein|zinc finger protein HRX"
"MLLT1","ENL, LTG19, YEATS1","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1","CTC-503J8.6|ENL/MLL fusion|MLL/ENL fusion protein|MLLT1/MLL fusion|YEATS domain-containing protein 1|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog); translocated to, 1|protein ENL"
"AFF1","AF4, MLLT2, PBM1","AF4/FMR2 family, member 1","AF4/FMR2 family member 1|ALL1-fused gene from chromosome 4 protein|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2|pre-B-cell monocytic leukemia partner 1|protein AF-4|proto-oncogene AF4"
"MLLT3","AF9, YEATS3","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3","ALL1-fused gene from chromosome 9 protein|YEATS domain-containing protein 3|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog); translocated to, 3|myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein|protein AF-9"
"ASCL2","ASH2, HASH2, MASH2, bHLHa45","achaete-scute family bHLH transcription factor 2","ASH-2|achaete-scute complex homolog 2|achaete-scute complex-like 2|achaete-scute homolog 2|class A basic helix-loop-helix protein 45|mammalian achaete/scute homologue 2"
"MLLT4","AF6, MLL-AF6","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4","ALL1-fused gene from chromosome 6 protein|afadin|protein AF-6"
"MLLT6","AF17","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6","ALL1-fused gene from chromosome 17 protein|Myeloid/lymphoid or mixed-lineage leukemia, translocated to, 6|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog); translocated to, 6|protein AF-17|trithorax homolog"
"FOXO4","AFX, AFX1, MLLT7","forkhead box O4","fork head domain transcription factor AFX1|forkhead box protein O4|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7"
"NR3C2","MCR, MLR, MRVIT, NR3C2","nuclear receptor subfamily 3, group C, member 2","aldosterone receptor|mineralocorticoid receptor|mineralocorticoid receptor 1|mineralocorticoid receptor delta"
"ACHE","ACEE, ARACHE, N-ACHE, YT","acetylcholinesterase (Yt blood group)","Yt blood group|acetylcholinesterase|apoptosis-related acetylcholinesterase"
"MME","CALLA, CD10, NEP, SFE","membrane metallo-endopeptidase","atriopeptidase|common acute lymphocytic leukemia antigen|enkephalinase|membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase)|membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)|membrane metallo-endopeptidase variant 1|membrane metallo-endopeptidase variant 2|neprilysin|neprilysin-390|neprilysin-411|neutral endopeptidase 24.11|skin fibroblast elastase"
"MMP1","CLG, CLGN","matrix metallopeptidase 1","fibroblast collagenase|interstitial collagenase|matrix metallopeptidase 1 (interstitial collagenase)|matrix metalloprotease 1|matrix metalloproteinase 1"
"MMP2","CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1","matrix metallopeptidase 2","72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase"
"MMP3","CHDS6, MMP-3, SL-1, STMY, STMY1, STR1","matrix metallopeptidase 3","matrix metallopeptidase 3 (stromelysin 1, progelatinase)|matrix metalloproteinase 3 (stromelysin 1, progelatinase)|matrix metalloproteinase-3|proteoglycanase|stromelysin-1|transin-1"
"MMP7","MMP-7, MPSL1, PUMP-1","matrix metallopeptidase 7","matrilysin|matrin|matrix metallopeptidase 7 (matrilysin, uterine)|matrix metalloproteinase 7 (matrilysin, uterine)|matrix metalloproteinase-7|pump-1 protease|uterine matrilysin|uterine metalloproteinase"
"LHX8","LHX7","LIM homeobox 8","LIM-homeodomain protein Lhx8|LIM/homeobox protein Lhx8"
"MMP8","CLG1, HNC, MMP-8, PMNL-CL","matrix metallopeptidase 8","PMN leukocyte collagenase|PMNL collagenase|collagenase 2|matrix metalloproteinase 8 (neutrophil collagenase)|matrix metalloproteinase-8|neutrophil collagenase"
"MMP9","CLG4B, GELB, MANDP2, MMP-9","matrix metallopeptidase 9","macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase-9|type V collagenase"
"MMP10","SL-2, STMY2","matrix metallopeptidase 10","MMP-10|matrix metalloprotease 10|matrix metalloproteinase 10 (stromelysin 2)|matrix metalloproteinase-10|stromelysin 2|stromelysin-2|transin 2|transin-2"
"MMP11","SL-3, ST3, STMY3","matrix metallopeptidase 11","MMP-11|matrix metallopeptidase 11 (stromelysin 3)|stromelysin III|stromelysin-3"
"ASGR1","ASGPR, ASGPR1, CLEC4H1, HL-1","asialoglycoprotein receptor 1","C-type lectin domain family 4 member H1|hepatic lectin H1"
