"id","alias","descrip","other"
"DCAF17","C2orf37","DDB1 and CUL4 associated factor 17","DDB1- and CUL4-associated factor 17"
"LINC00574","C6orf208, dJ182D15.1","long intergenic non-protein coding RNA 574",""
"ADAMTS20","ADAM-TS20, ADAMTS-20, GON-1","ADAM metallopeptidase with thrombospondin type 1 motif, 20","A disintegrin and metalloproteinase with thrombospondin motifs 20|a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 20"
"CCDC15","","coiled-coil domain containing 15","coiled-coil domain-containing protein 15"
"HEXA-AS1","C15orf34","HEXA antisense RNA 1","HEXA antisense RNA 1 (non-protein coding)"
"LOC80078","","uncharacterized LOC80078",""
"TUBA4B","TUBA4","tubulin, alpha 4b","alpha-tubulin 4B|putative tubulin-like protein alpha-4B|tubulin, alpha 4|tubulin, alpha 4b (pseudogene)"
"FLJ14100","","hypothetical protein FLJ14100",""
"BIN3-IT1","","BIN3 intronic transcript 1","BIN3 intronic transcript 1 (non-protein coding)"
"ZNF606","ZNF328","zinc finger protein 606","zinc finger protein 328"
"MZT2B","FAM128B, MOZART2B","mitotic spindle organizing protein 2B","family with sequence similarity 128, member B|mitotic-spindle organizing protein 2B|mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2B"
"C7orf69","","chromosome 7 open reading frame 69","uncharacterized protein C7orf69"
"ZFP2","ZNF751","ZFP2 zinc finger protein","zfp-2|zinc finger protein 2 homolog|zinc finger protein 751"
"CALM1","CALML2, CAMI, CPVT4, DD132, LQT14, PHKD, caM","calmodulin 1 (phosphorylase kinase, delta)","calmodulin|phosphorylase kinase, delta subunit|prepro-calmodulin 1"
"ZNF614","","zinc finger protein 614",""
"C3orf36","","chromosome 3 open reading frame 36","uncharacterized protein C3orf36"
"BICC1","BICC, CYSRD","BicC family RNA binding protein 1","FGFR2-BICC1 fusion kinase protein|bicaudal C homolog 1|protein bicaudal C homolog 1"
"BAIAP2L2","","BAI1-associated protein 2-like 2","BAI1-associated protein 2-like protein 2|brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2|pinkbar|planar intestinal- and kidney-specific BAR domain protein"
"ARL14","ARF7","ADP-ribosylation factor-like 14","ADP-ribosylation factor 7|ADP-ribosylation factor-like protein 14"
"PIF1","C15orf20, PIF","PIF1 5'-to-3' DNA helicase","ATP-dependent DNA helicase PIF1|DNA repair and recombination helicase PIF1|PIF1 5'-to-3' DNA helicase homolog|PIF1/RRM3 DNA helicase-like protein|petite integration frequency 1"
"MAP3K19","RCK, YSK4","mitogen-activated protein kinase kinase kinase 19","SPS1/STE20-related protein kinase YSK4|YSK4 Sps1/Ste20-related kinase homolog|regulated in COPD kinase|regulated in COPD, protein kinase|yeast Sps1/Ste20-related kinase 4"
"VCPIP1","DUBA3, VCIP135","valosin containing protein (p97)/p47 complex interacting protein 1","VCP/p47 complex-interacting 135-kDa protein|deubiquitinating protein VCIP135|valosin-containing protein (p97)/p47 complex-interacting protein p135|valosin-containing protein p97/p47 complex-interacting protein 1|valosin-containing protein p97/p47 complex-interacting protein p135"
"CCDC33","CT61","coiled-coil domain containing 33","cancer/testis antigen 61|coiled-coil domain-containing protein 33"
"CCDC176","C14orf45","coiled-coil domain containing 176","basal body-orientation factor 1|coiled-coil domain-containing protein 176"
"TRIM46","GENEY, TRIFIC","tripartite motif containing 46","gene Y protein|tripartite motif-containing protein 46|tripartite, fibronectin type-III and C-terminal SPRY motif protein"
"CCDC170","C6orf97, bA282P11.1","coiled-coil domain containing 170","coiled-coil domain-containing protein 170"
"NR4A3","CHN, CSMF, MINOR, NOR1, TEC","nuclear receptor subfamily 4, group A, member 3","chondrosarcoma, extraskeletal myxoid, fused to EWS|mitogen-induced nuclear orphan receptor|neuron-derived orphan receptor 1|nuclear hormone receptor NOR-1|nuclear receptor subfamily 4 group A member 3|translocated in extraskeletal chondrosarcoma"
"LRRC8E","","leucine rich repeat containing 8 family, member E","leucine-rich repeat-containing protein 8E|volume-regulated anion channel subunit LRRC8E"
"MROH9","ARMC11, C1orf129","maestro heat-like repeat family member 9","armadillo repeat containing 11|maestro heat-like repeat-containing protein family member 9"
"RPF1","BXDC5","ribosome production factor 1 homolog (S. cerevisiae)","2310066N05Rik|RNA processing factor 1 (RPF1)|brix domain containing 5|brix domain-containing protein 5|ribosome biogenesis protein RPF1|ribosome production factor 1"
"ZNF703","NLZ1, ZEPPO1, ZNF503L, ZPO1","zinc finger protein 703","zinc finger elbow-related proline domain protein 1"
"PTGES2","C9orf15, GBF-1, GBF1, PGES2, mPGES-2","prostaglandin E synthase 2","GATE-binding factor 1|gamma-interferon-activated transcriptional element-binding factor 1|mPGE synthase-2|membrane-associated prostaglandin E synthase 2|membrane-associated prostaglandin E synthase-2|microsomal prostaglandin E synthase-2|prostaglandin-H(2) E-isomerase"
"SIKE1","SIKE","suppressor of IKBKE 1","suppressor of IKK epsilon|suppressor of IKK-epsilon"
"FRAS1","","Fraser extracellular matrix complex subunit 1","Fraser syndrome 1|extracellular matrix protein FRAS1"
"THOC7","NIF3L1BP1, fSAP24, hTREX30","THO complex 7","NIF3L1-binding protein 1|Ngg1 interacting factor 3 like 1 binding protein 1|THO complex 7 homolog|THO complex subunit 7 homolog|functional spliceosome-associated protein 24|ngg1-interacting factor 3-like protein 1-binding protein 1"
"UXS1","SDR6E1, UGD","UDP-glucuronate decarboxylase 1","UDP-glucuronic acid decarboxylase 1|UXS-1|short chain dehydrogenase/reductase family 6E, member 12"
"PQLC1","","PQ loop repeat containing 1","PQ-loop repeat-containing protein 1"
"ZC3H12A","MCPIP, MCPIP1, dJ423B22.1","zinc finger CCCH-type containing 12A","MCP induced protein 1|MCP-1 treatment-induced protein|MCP-induced protein 1|ribonuclease ZC3H12A|zinc finger CCCH domain-containing protein 12A"
"ASRGL1","ALP, ALP1, CRASH","asparaginase like 1","L-asparaginase|L-asparagine amidohydrolase|asparaginase-like 1 protein|asparaginase-like protein 1|beta-aspartyl-peptidase|isoaspartyl dipeptidase|isoaspartyl peptidase/L-asparaginase"
"CENPT","C16orf56, CENP-T","centromere protein T","interphase centromere complex protein 22"
"EDC3","LSM16, YJDC, YJEFN2","enhancer of mRNA decapping 3","LSM16 homolog (EDC3, S. cerevisiae)|enhancer of mRNA decapping 3 homolog|enhancer of mRNA-decapping protein 3|hYjeF_N2|hYjeF_N2-15q23|yjeF N-terminal domain-containing protein 2|yjeF domain containing|yjeF domain-containing protein 1|yjeF_N2"
